State,Industry Group,RoundClassDescr,Deals,Number of Deals,Raised
De Werven,Toestand,Startup,10,2,1
De Hoven,Toestand,Medium,9,1,1
De Meenten,Toestand,Medium,8,1,1
De Grienden,Toestand,Medium,7,1,1
De Marken,Toestand,Large,6,1,1
De Gouwen,Toestand,LLC,6,1,1
De Wierden,Toestand,Startup,7,1,1
De Velden,Toestand,Startup,8,1,1
Overgooi,Toestand,Startup,9,1,1
De Steiger,Toestand,Startup,2,1,1
Stichtsekant,Toestand,Startup,3,1,1
Verspreide Huizen Almere-Haven,Toestand,Startup,4,1,1
Centrum Almere-Haven,Toestand,Startup,4,2,1
Centrum Almere-Stad,Toestand,Startup,5,1,1
Filmwijk,Toestand,Startup,6,1,1
Danswijk,Toestand,Startup,7,1,1
Parkwijk,Toestand,Startup,8,1,1
Verzetswijk,Toestand,Startup,1,1,1
Waterwijk,Toestand,Startup,2,1,1
Tussen de Vaarten Noord,Toestand,Startup,3,1,1
Tussen de Vaarten Zuid,Toestand,Startup,1,1,1
Staatsliedenwijk,Toestand,Startup,1,1,100
Kruidenwijk,Toestand,Startup,1,1,1
Stedenwijk,Toestand,Startup,1,1,1
Muziekwijk Noord,Toestand,Startup,1,1,1
Muziekwijk Zuid,Toestand,Startup,1,1,1
Literatuurwijk,Toestand,Startup,1,1,1
Noorderplassen,Toestand,Startup,1,1,1
Randstad,Toestand,Startup,1,2,1
Markerkant,Toestand,Startup,4,1,1
Hollandsekant,Toestand,Startup,1,1,1
Gooisekant,Toestand,Startup,1,1,1
Veluwsekant,Toestand,Startup,1,1,1
Sallandsekant,Toestand,Startup,1,1,1
Verspreide huizen Almere-Stad,Toestand,Startup,1,1,1
Centrum Almere-Buiten,Toestand,Startup,1,2,1
Oostvaardersbuurt,Toestand,Startup,1,1,76
Seizoenenbuurt,Toestand,Startup,1,1,1
Molenbuurt,Toestand,Startup,1,1,1
Bouwmeesterbuurt,Toestand,Startup,1,1,1
Landgoederenbuurt,Toestand,Startup,1,1,1
Faunabuurt,Toestand,Medium,1,1,1
Bloemenbuurt,Toestand,Medium,1,1,1
Regenboogbuurt,Toestand,Large,1,1,1
Indischebuurt,Toestand,Large,1,1,1
Eilandenbuurt,Toestand,Large,1,1,1
Stripheldenbuurt,Toestand,Startup,1,1,1
Sieradenbuurt,Toestand,Startup,1,1,1
Poldervlak,Toestand,Startup,1,1,1
De Vaart,Toestand,Startup,1,1,1
Buitenvaart,Toestand,Startup,1,1,1
Verspreide huizen Almere-Buiten,Toestand,Startup,1,1,1
Europakwartier,Toestand,Startup,1,1,1
Columbuskwartier,Toestand,Startup,1,1,1
Homeruskwartier,Toestand,Startup,1,1,1
Olympiakwartier,Toestand,Startup,1,1,1
Hogekant,Toestand,Startup,1,1,1
Middenkant,Toestand,Startup,1,1,1
Lagekant,Toestand,Startup,1,1,1
Verspreide huizen Almere-Poort,Toestand,Startup,1,1,1
Vogelhorst,Toestand,Startup,1,1,100
Verspreide huizen Almere-Hout,Toestand,Startup,1,1,1
Verspreide huizen Almere-Pampus,Toestand,Startup,1,1,1